0:0:0:0:0:0:0:1 - - [16/May/2021:23:05:52 +0800] "GET /PCA/img/head_photo/5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2021:23:05:52 +0800] "GET /PCA/img/head_photo/frank.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2021:23:05:52 +0800] "GET /PCA/img/head_photo/18.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2021:23:05:57 +0800] "GET /PCA/Css/Public_Color/orange.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2021:23:05:57 +0800] "POST /PCA/lead?page=3 HTTP/1.1" 200 47247
0:0:0:0:0:0:0:1 - - [16/May/2021:23:05:57 +0800] "GET /PCA/Css/Public_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2021:23:05:57 +0800] "GET /PCA/Css/score.css HTTP/1.1" 200 9891
0:0:0:0:0:0:0:1 - - [16/May/2021:23:05:57 +0800] "GET /PCA/img/example/empty1.png HTTP/1.1" 200 9450
0:0:0:0:0:0:0:1 - - [16/May/2021:23:05:57 +0800] "GET /PCA/img/theme_photo/1.png HTTP/1.1" 200 166386
0:0:0:0:0:0:0:1 - - [16/May/2021:23:05:59 +0800] "GET /PCA/chat_room_messages.jsp HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [16/May/2021:23:06:13 +0800] "GET /PCA/img/pet_photo/fox.gif HTTP/1.1" 200 3475374
0:0:0:0:0:0:0:1 - - [16/May/2021:23:06:17 +0800] "POST /PCA/lead?page=2 HTTP/1.1" 200 34491
0:0:0:0:0:0:0:1 - - [16/May/2021:23:06:17 +0800] "GET /PCA/Css/Public_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2021:23:06:17 +0800] "GET /PCA/Css/Public_Color/orange.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2021:23:06:17 +0800] "GET /PCA/Css/Assignment.css HTTP/1.1" 200 4977
0:0:0:0:0:0:0:1 - - [16/May/2021:23:06:17 +0800] "GET /PCA/img/example/%E6%98%9F%E6%98%9F.png HTTP/1.1" 200 5735
0:0:0:0:0:0:0:1 - - [16/May/2021:23:06:17 +0800] "GET /PCA/img/mission_tips/%E6%9C%AA%E5%AE%8C%E6%88%90.png HTTP/1.1" 200 6478
0:0:0:0:0:0:0:1 - - [16/May/2021:23:06:17 +0800] "GET /PCA/img/theme_photo/1.png HTTP/1.1" 200 166386
0:0:0:0:0:0:0:1 - - [16/May/2021:23:06:23 +0800] "GET /PCA/img/pet_photo/fox.gif HTTP/1.1" 200 3475374
0:0:0:0:0:0:0:1 - - [16/May/2021:23:06:24 +0800] "POST /PCA/lead?page=5 HTTP/1.1" 200 14219
0:0:0:0:0:0:0:1 - - [16/May/2021:23:06:24 +0800] "GET /PCA/Css/Public_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2021:23:06:24 +0800] "GET /PCA/Css/Public_Color/orange.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2021:23:06:24 +0800] "GET /PCA/Css/Work.css HTTP/1.1" 200 4844
0:0:0:0:0:0:0:1 - - [16/May/2021:23:06:24 +0800] "GET /PCA/img/lead_photo/%E6%90%9C%E7%B4%A2.png HTTP/1.1" 200 7834
0:0:0:0:0:0:0:1 - - [16/May/2021:23:06:24 +0800] "GET /PCA/img/theme_photo/1.png HTTP/1.1" 200 166386
0:0:0:0:0:0:0:1 - - [16/May/2021:23:06:26 +0800] "GET /PCA/img/pet_photo/fox.gif HTTP/1.1" 200 3475374
0:0:0:0:0:0:0:1 - - [16/May/2021:23:06:28 +0800] "POST /PCA/lead?page=6 HTTP/1.1" 200 18958
0:0:0:0:0:0:0:1 - - [16/May/2021:23:06:28 +0800] "GET /PCA/Css/Public_Color/orange.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2021:23:06:28 +0800] "GET /PCA/Css/Public_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2021:23:06:28 +0800] "GET /PCA/Css/Homepage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2021:23:06:28 +0800] "GET /PCA/Css/resuorce.css HTTP/1.1" 200 2151
0:0:0:0:0:0:0:1 - - [16/May/2021:23:06:28 +0800] "GET /PCA/img/example/entry.png HTTP/1.1" 200 2486
0:0:0:0:0:0:0:1 - - [16/May/2021:23:06:28 +0800] "GET /PCA/img/example/%E4%B8%8B%E8%BD%BD%20.png HTTP/1.1" 200 3286
0:0:0:0:0:0:0:1 - - [16/May/2021:23:06:28 +0800] "GET /PCA/img/theme_photo/1.png HTTP/1.1" 200 166386
0:0:0:0:0:0:0:1 - - [16/May/2021:23:07:40 +0800] "GET /PCA/img/pet_photo/fox.gif HTTP/1.1" 200 3475374
0:0:0:0:0:0:0:1 - - [16/May/2021:23:07:41 +0800] "POST /PCA/lead?page=7 HTTP/1.1" 200 13814
0:0:0:0:0:0:0:1 - - [16/May/2021:23:07:41 +0800] "GET /PCA/Css/Public_style.css HTTP/1.1" 304 -
